tip.label,label_pretty,distribution
Gymnostachys_anceps_Australia,Gymnostachys anceps,Australia
Orontium_aquaticum,Orontium aquaticum,North America
Lyschiton_camtschatcensis_Japan,Lyschiton camtschatcensis,Asia
Lyschiton_americanus_California,Lyschiton americanus,North America
Symplocarpus_foetidus_NA,Symplocarpus foetidus,North America
Symplocarpus_nabekuraensis_Japan,Symplocarpus nabekuraensis,Asia
Symplocarpus_renifolius_Japan,Symplocarpus renifolius,Asia
Symplocarpus_nipponicus_Japan,Symplocarpus nipponicus,Asia
Lemnoideae,Lemnoideae (Duckweeds),Global
Pothoideae,Pothoideae (Peace lily),Global
Monsteroideae,Monsteroideae (Kodi's Monstera),Global
Lasioideae,Lasioideae,Global
Zamioculcadoideae,Zamioculcadoideae,Global
Aroideae,Aroideae (Jack-in-the-pulpit),Global
Symplocarpus_egorovii,Symplocarpus egorovii,Asia
Symplocarpus_koreanus,Symplocarpus koreanus,Asia
